0 テストデータ
10 バランス調整防具：頭
14 調整値⇒
20 関数テスト：頭
30 関数テスト：頭
12350102 2350 【重ドワーフ（亡者）】・腕
12350103 2350 【重ドワーフ（亡者）】・足
12351100 2351 【重ドワーフ（亡者）：頭部Ｂ：兜）】・頭
12360100 2360 【ダークレイス】・頭
12360101 2360 【ダークレイス】・胸
12360102 2360 【ダークレイス】・腕
12360103 2360 【ダークレイス】・足
12370100 2370 【ネクロマンサー（イモータル）】・頭
12460100 2460 【亡者：裕福層の服♂】・頭
12460101 2460 【亡者：裕福層の服♂】・胸
12460102 2460 【亡者：裕福層の服♂】・腕
12460103 2460 【亡者：裕福層の服♂】・足
12480100 2480 【亡者：農民の服♂】・頭
12480101 2480 【亡者：農民の服♂】・胸
12480102 2480 【亡者：農民の服♂】・腕
12480103 2480 【亡者：農民の服♂】・足
12510100 2510 【王国重戦士：色①】・頭
12510101 2510 【王国重戦士：色①】・胸
12510102 2510 【王国重戦士：色①】・腕
12510103 2510 【王国重戦士：色①】・足
12512100 2512 【王国重戦士：色③】・頭
12512101 2512 【王国重戦士：色③】・胸
12512102 2512 【王国重戦士：色③】・腕
12512103 2512 【王国重戦士：色③】・足
12520100 2520 【王国兵戦士】・頭
12520101 2520 【王国兵戦士】・胸
12520102 2520 【王国兵戦士】・腕
12520103 2520 【王国兵戦士】・足
12530100 2530 【王国護衛兵】・頭
12530101 2530 【王国護衛兵】・胸
12530102 2530 【王国護衛兵】・腕
12530103 2530 【王国護衛兵】・足
12540100 2540 【スケルトン貴族】・頭
12540101 2540 【スケルトン貴族】・胸
12540102 2540 【スケルトン貴族】・腕
12540103 2540 【スケルトン貴族】・足
13010100 3010 【彷徨える騎士（亡者）：頭部Ａ】・頭
13010101 3010 【彷徨える騎士（亡者）：頭部Ａ】・胸
13010102 3010 【彷徨える騎士（亡者）：頭部Ａ】・腕
13010103 3010 【彷徨える騎士（亡者）：頭部Ａ】・足
13011100 3011 【彷徨える騎士（亡者）：頭部Ｂ】・頭
13040101 3040 【バンシー（亡者）：色①】・胸
13050100 3050 【デーモンナイト】・頭
13050101 3050 【デーモンナイト】・胸
13050102 3050 【デーモンナイト】・腕
13050103 3050 【デーモンナイト】・足
13060100 3060 【デーモン鎧：隊長】・頭
13060101 3060 【デーモン鎧：隊長】・胸
13060102 3060 【デーモン鎧：隊長】・腕
13060103 3060 【デーモン鎧：隊長】・足
13061100 3061 【デーモン鎧：量産型】・頭
13061101 3061 【デーモン鎧：量産型】・胸
13061102 3061 【デーモン鎧：量産型】・腕
13061103 3061 【デーモン鎧：量産型】・足
13070100 3070 【デュラハン（亡者）】・頭
13070101 3070 【デュラハン（亡者）】・胸
13070102 3070 【デュラハン（亡者）】・腕
13070103 3070 【デュラハン（亡者）】・足
13080101 3080 【獅子戦士】・胸
13080102 3080 【獅子戦士】・腕
13080103 3080 【獅子戦士】・足
13081100 3081 【獅子戦士】・頭
13081101 3081 【獅子戦士】・胸
13081103 3081 【獅子戦士】・足
13120100 3120 【イモータル上級兵士（イモータル）】・頭
13120101 3120 【イモータル上級兵士（イモータル）】・胸
13120102 3120 【イモータル上級兵士（イモータル）】・腕
13120103 3120 【イモータル上級兵士（イモータル）】・足
13130100 3130 【鷹匠戦士】・頭
13130101 3130 【鷹匠戦士】・胸
13130102 3130 【鷹匠戦士】・腕
13130103 3130 【鷹匠戦士】・足
13140100 3140 【象人（亡者）】・頭
13140101 3140 【象人（亡者）】・胸
13140102 3140 【象人（亡者）】・腕
13140103 3140 【象人（亡者）】・足
13150100 3150 【象人（生者）】・頭
13150101 3150 【象人（生者）】・胸
13150102 3150 【象人（生者）】・腕
13150103 3150 【象人（生者）】・足
13160100 3160 【捕らわれた魔道士】・頭
13160101 3160 【捕らわれた魔道士】・胸
13160102 3160 【捕らわれた魔道士】・腕
13160103 3160 【捕らわれた魔道士】・足
13170100 3170 【龍の教授】・頭
13170101 3170 【龍の教授】・胸
13170102 3170 【龍の教授】・腕
13170103 3170 【龍の教授】・足
13171100 3171 【龍の研究員】・頭
13250100 3250 【鏡の中の戦士】・頭
13250101 3250 【鏡の中の戦士】・胸
13250102 3250 【鏡の中の戦士】・腕
13250103 3250 【鏡の中の戦士】・足
13300100 3300 【古代の戦士】・頭
13300101 3300 【古代の戦士】・胸
13300102 3300 【古代の戦士】・腕
13300103 3300 【古代の戦士】・足
13310100 3310 【デーモン重兵士】・頭
13310101 3310 【デーモン重兵士】・胸
13310102 3310 【デーモン重兵士】・腕
13310103 3310 【デーモン重兵士】・足
13320100 3320 【王妃の騎士A】・頭
13320101 3320 【王妃の騎士A】・胸
13320102 3320 【王妃の騎士A】・腕
13320103 3320 【王妃の騎士A】・足
13330100 3330 【王妃の騎士B】・頭
13330101 3330 【王妃の騎士B】・胸
13330102 3330 【王妃の騎士B】・腕
13330103 3330 【王妃の騎士B】・足
13340100 3340 【王妃の騎士C】・頭
13340101 3340 【王妃の騎士C】・胸
13340102 3340 【王妃の騎士C】・腕
13340103 3340 【王妃の騎士C】・足
15040100 5040 【ミラーナイト】・頭
15040101 5040 【ミラーナイト】・胸
15040102 5040 【ミラーナイト】・腕
15040103 5040 【ミラーナイト】・足
15060101 5060 【アガドゥラン】・胸
15060102 5060 【アガドゥラン】・腕
15060103 5060 【アガドゥラン】・足
15090100 5090 【ダークビショップ】・頭
15090101 5090 【ダークビショップ】・胸
15100100 5100 【ファントムプリースト（霊体）】・頭
15100101 5100 【ファントムプリースト（霊体）】・胸
15100102 5100 【ファントムプリースト（霊体）】・腕
15100103 5100 【ファントムプリースト（霊体）】・足
15110100 5110 【ファントムナイト（霊体）】・頭
15110101 5110 【ファントムナイト（霊体）】・胸
15110102 5110 【ファントムナイト（霊体）】・腕
15110103 5110 【ファントムナイト（霊体）】・足
15120100 5120 【ファントムメイジ（霊体）】・頭
15120101 5120 【ファントムメイジ（霊体）】・胸
15120102 5120 【ファントムメイジ（霊体）】・腕
15130100 5130 【ヴァングラット王（過去）】・頭
15130101 5130 【ヴァングラット王（過去）】・胸
15130102 5130 【ヴァングラット王（過去）】・腕
15130103 5130 【ヴァングラット王（過去）】・足
16100100 6100 【重騎馬兵・重騎士（生者）】・頭
16100101 6100 【重騎馬兵・重騎士（生者）】・胸
16100102 6100 【重騎馬兵・重騎士（生者）】・腕
16100103 6100 【重騎馬兵・重騎士（生者）】・足
16180100 6180 【シルバーチャリオット】・頭
16180101 6180 【シルバーチャリオット】・胸
16180102 6180 【シルバーチャリオット】・腕
16180103 6180 【シルバーチャリオット】・足
16260100 6260 【忘れられた罪人】・頭
16260101 6260 【忘れられた罪人】・胸
16260102 6260 【忘れられた罪人】・腕
16260103 6260 【忘れられた罪人】・足
16660100 6660 【DLC：爛れ騎士】・頭
16660101 6660 【DLC：爛れ騎士】・胸
16660102 6660 【DLC：爛れ騎士】・腕
16660103 6660 【DLC：爛れ騎士】・足
17210101 7210 【王国軍師（過去）】・胸
17210102 7210 【王国軍師（過去）】・腕
17210103 7210 【王国軍師（過去）】・足
17240100 7240 【親衛隊長】・頭
17240101 7240 【親衛隊長】・胸
17240102 7240 【親衛隊長】・腕
17240103 7240 【親衛隊長】・足
17420100 7420 【仇討ちの戦士】・頭
17420101 7420 【仇討ちの戦士】・胸
17420102 7420 【仇討ちの戦士】・腕
17420103 7420 【仇討ちの戦士】・足
17430100 7430 【仇討ちの戦士の父】・頭
17430101 7430 【仇討ちの戦士の父】・胸
17430102 7430 【仇討ちの戦士の父】・腕
17430103 7430 【仇討ちの戦士の父】・足
17440100 7440 【パッチ（現代）】・頭
17440101 7440 【パッチ（現代）】・胸
17440102 7440 【パッチ（現代）】・腕
17440103 7440 【パッチ（現代）】・足
17510100 7510 【妹を探す兄】・頭
17510101 7510 【妹を探す兄】・胸
17510103 7510 【妹を探す兄】・足
17520100 7520 【海ソラール】・頭
17520101 7520 【海ソラール】・胸
17520102 7520 【海ソラール】・腕
17520103 7520 【海ソラール】・足
17530100 7530 【サンチョ】・頭
17530101 7530 【サンチョ】・胸
17530102 7530 【サンチョ】・腕
17530103 7530 【サンチョ】・足
17550100 7550 【ストーカー戦士】・頭
17550101 7550 【ストーカー戦士】・胸
17550102 7550 【ストーカー戦士】・腕
17550103 7550 【ストーカー戦士】・足
17630100 7630 【NPC  本屋】・頭
17630101 7630 【NPC  本屋】・胸
17630102 7630 【NPC  本屋】・腕
17630103 7630 【NPC  本屋】・足
17680100 7680 【スペル四天王（魔術）】・頭
17680101 7680 【スペル四天王（魔術）】・胸
17680102 7680 【スペル四天王（魔術）】・腕
17680103 7680 【スペル四天王（魔術）】・足
17690100 7690 【スペル四天王（奇蹟）】・頭
17690101 7690 【スペル四天王（奇蹟）】・胸
17690102 7690 【スペル四天王（奇蹟）】・腕
17690103 7690 【スペル四天王（奇蹟）】・足
17700100 7700 【スペル四天王（呪術）】・頭
17700101 7700 【スペル四天王（呪術）】・胸
17700102 7700 【スペル四天王（呪術）】・腕
17700103 7700 【スペル四天王（呪術）】・足
17710100 7710 【スペル四天王（闇術）】・頭
17710101 7710 【スペル四天王（闇術）】・胸
17710102 7710 【スペル四天王（闇術）】・腕
17710103 7710 【スペル四天王（闇術）】・足
17830100 7830 【黒ファントム屋】・頭
17830101 7830 【黒ファントム屋】・胸
17830102 7830 【黒ファントム屋】・腕
17830103 7830 【黒ファントム屋】・足
17950100 7950 【聖女の付き人】・頭
17950101 7950 【聖女の付き人】・胸
17950102 7950 【聖女の付き人】・腕
17950103 7950 【聖女の付き人】・足
19000100 9000 【幻影-裸】・頭
19000101 9000 【幻影-裸】・胸
19000102 9000 【幻影-裸】・腕
19000103 9000 【幻影-裸】・足
19010100 9010 【幻影-服】・頭
19010101 9010 【幻影-服】・胸
19010102 9010 【幻影-服】・腕
19010103 9010 【幻影-服】・足
19020100 9020 【幻影-軽装】・頭
19020101 9020 【幻影-軽装】・胸
19020102 9020 【幻影-軽装】・腕
19020103 9020 【幻影-軽装】・足
19030100 9030 【幻影-重装】・頭
19030101 9030 【幻影-重装】・胸
19030102 9030 【幻影-重装】・腕
19030103 9030 【幻影-重装】・足
